Test for Q4_5CPU begins
CPUProcess(7):, outer i: 0, Prio: 32766, Preempt: 3,cputot: 1
CPUProcess(7):, outer i: 0, Prio: 32766, Preempt: 2,cputot: 1
CPUProcess(7):, outer i: 0, Prio: 32766, Preempt: 1,cputot: 1
CPUProcess(7):, outer i: 0, Prio: 32745, Preempt: 20,cputot: 21
CPUProcess(7):, outer i: 0, Prio: 32745, Preempt: 19,cputot: 21
CPUProcess(7):, outer i: 0, Prio: 32745, Preempt: 18,cputot: 21
CPUProcess(7):, outer i: 0, Prio: 32745, Preempt: 17,cputot: 21
CPUProcess(7):, outer i: 0, Prio: 32745, Preempt: 16,cputot: 21
CPUProcess(7):, outer i: 0, Prio: 32745, Preempt: 15,cputot: 21
CPUProcess(7):, outer i: 0, Prio: 32745, Preempt: 14,cputot: 21
CPUProcess(7):, outer i: 0, Prio: 32745, Preempt: 13,cputot: 21
CPUProcess(7):, outer i: 0, Prio: 32745, Preempt: 12,cputot: 21
CPUProcess(7):, outer i: 0, Prio: 32745, Preempt: 11,cputot: 21
CPUProcess(7):, outer i: 0, Prio: 32745, Preempt: 10,cputot: 21
CPUProcess(7):, outer i: 0, Prio: 32745, Preempt: 9,cputot: 21
CPUProcess(7):, outer i: 0, Prio: 32745, Preempt: 8,cputot: 21
CPUProcess(7):, outer i: 0, Prio: 32745, Preempt: 7,cputot: 21
CPUProcess(7):, outer i: 0, Prio: 32745, Preempt: 6,cputot: 21
CPUProcess(7):, outer i: 0, Prio: 32745, Preempt: 5,cputot: 21
CPUProcess(7):, outer i: 0, Prio: 32745, Preempt: 4,cputot: 21
CPUProcess(7):, outer i: 0, Prio: 32745, Preempt: 3,cputot: 21
CPUProcess(7):, outer i: 0, Prio: 32745, Preempt: 2,cputot: 21
CPUProcess(7):, outer i: 0, Prio: 32745, Preempt: 1,cputot: 21
CPUProcess(4):, outer i: 0, Prio: 32745, Preempt: 20,cputot: 41
CPUProcess(4):, outer i: 0, Prio: 32745, Preempt: 19,cputot: 41
CPUProcess(4):, outer i: 0, Prio: 32745, Preempt: 18,cputot: 41
CPUProcess(4):, outer i: 0, Prio: 32745, Preempt: 17,cputot: 41
CPUProcess(4):, outer i: 0, Prio: 32745, Preempt: 16,cputot: 41
CPUProcess(4):, outer i: 0, Prio: 32745, Preempt: 15,cputot: 41
CPUProcess(4):, outer i: 0, Prio: 32745, Preempt: 14,cputot: 41
CPUProcess(4):, outer i: 0, Prio: 32745, Preempt: 13,cputot: 41
CPUProcess(4):, outer i: 0, Prio: 32745, Preempt: 12,cputot: 41
CPUProcess(4):, outer i: 0, Prio: 32745, Preempt: 11,cputot: 41
CPUProcess(4):, outer i: 1, Prio: 32745, Preempt: 10,cputot: 41
CPUProcess(4):, outer i: 1, Prio: 32745, Preempt: 9,cputot: 41
CPUProcess(4):, outer i: 1, Prio: 32745, Preempt: 8,cputot: 41
CPUProcess(4):, outer i: 1, Prio: 32745, Preempt: 7,cputot: 41
CPUProcess(4):, outer i: 1, Prio: 32745, Preempt: 6,cputot: 41
CPUProcess(4):, outer i: 1, Prio: 32745, Preempt: 5,cputot: 41
CPUProcess(4):, outer i: 1, Prio: 32745, Preempt: 4,cputot: 41
CPUProcess(4):, outer i: 1, Prio: 32745, Preempt: 3,cputot: 41
CPUProcess(4):, outer i: 1, Prio: 32745, Preempt: 2,cputot: 41
CPUProcess(4):, outer i: 1, Prio: 32745, Preempt: 1,cputot: 41
CPUProcess(4):, outer i: 1, Prio: 32684, Preempt: 20,cputot: 61
CPUProcess(4):, outer i: 1, Prio: 32684, Preempt: 19,cputot: 61
CPUProcess(4):, outer i: 1, Prio: 32684, Preempt: 18,cputot: 61
CPUProcess(4):, outer i: 1, Prio: 32684, Preempt: 17,cputot: 61
CPUProcess(4):, outer i: 1, Prio: 32684, Preempt: 16,cputot: 61
CPUProcess(4):, outer i: 1, Prio: 32684, Preempt: 15,cputot: 61
CPUProcess(4):, outer i: 1, Prio: 32684, Preempt: 14,cputot: 61
CPUProcess(4):, outer i: 1, Prio: 32684, Preempt: 13,cputot: 61
CPUProcess(4):, outer i: 1, Prio: 32684, Preempt: 12,cputot: 61
CPUProcess(4):, outer i: 1, Prio: 32684, Preempt: 11,cputot: 61
CPUProcess(4):, outer i: 1, Prio: 32684, Preempt: 10,cputot: 61
CPUProcess(4):, outer i: 1, Prio: 32684, Preempt: 9,cputot: 61
CPUProcess(4):, outer i: 1, Prio: 32684, Preempt: 8,cputot: 61
CPUProcess(4):, outer i: 1, Prio: 32684, Preempt: 7,cputot: 61
CPUProcess(4):, outer i: 1, Prio: 32684, Preempt: 6,cputot: 61
CPUProcess(4):, outer i: 1, Prio: 32684, Preempt: 5,cputot: 61
CPUProcess(4):, outer i: 1, Prio: 32684, Preempt: 4,cputot: 61
CPUProcess(4):, outer i: 1, Prio: 32684, Preempt: 3,cputot: 61
CPUProcess(4):, outer i: 1, Prio: 32684, Preempt: 2,cputot: 61
CPUProcess(4):, outer i: 1, Prio: 32684, Preempt: 1,cputot: 61
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 20,cputot: 41
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 19,cputot: 41
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 18,cputot: 41
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 17,cputot: 41
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 16,cputot: 41
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 15,cputot: 41
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 14,cputot: 41
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 13,cputot: 41
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 12,cputot: 41
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 11,cputot: 41
CPUProcess(5):, outer i: 1, Prio: 32745, Preempt: 10,cputot: 41
CPUProcess(5):, outer i: 1, Prio: 32745, Preempt: 9,cputot: 41
CPUProcess(5):, outer i: 1, Prio: 32745, Preempt: 8,cputot: 41
CPUProcess(5):, outer i: 1, Prio: 32745, Preempt: 7,cputot: 41
CPUProcess(5):, outer i: 1, Prio: 32745, Preempt: 6,cputot: 41
CPUProcess(5):, outer i: 1, Prio: 32745, Preempt: 5,cputot: 41
CPUProcess(5):, outer i: 1, Prio: 32745, Preempt: 4,cputot: 41
CPUProcess(5):, outer i: 1, Prio: 32745, Preempt: 3,cputot: 41
CPUProcess(5):, outer i: 1, Prio: 32745, Preempt: 2,cputot: 41
CPUProcess(5):, outer i: 1, Prio: 32745, Preempt: 1,cputot: 41
CPUProcess(5):, outer i: 1, Prio: 32684, Preempt: 20,cputot: 61
CPUProcess(5):, outer i: 1, Prio: 32684, Preempt: 19,cputot: 61
CPUProcess(5):, outer i: 1, Prio: 32684, Preempt: 18,cputot: 61
CPUProcess(5):, outer i: 1, Prio: 32684, Preempt: 17,cputot: 61
CPUProcess(5):, outer i: 1, Prio: 32684, Preempt: 16,cputot: 61
CPUProcess(5):, outer i: 1, Prio: 32684, Preempt: 15,cputot: 61
CPUProcess(5):, outer i: 1, Prio: 32684, Preempt: 14,cputot: 61
CPUProcess(5):, outer i: 1, Prio: 32684, Preempt: 13,cputot: 61
CPUProcess(5):, outer i: 1, Prio: 32684, Preempt: 12,cputot: 61
CPUProcess(5):, outer i: 1, Prio: 32684, Preempt: 11,cputot: 61
CPUProcess(5):, outer i: 1, Prio: 32684, Preempt: 10,cputot: 61
CPUProcess(5):, outer i: 1, Prio: 32684, Preempt: 9,cputot: 61
CPUProcess(5):, outer i: 1, Prio: 32684, Preempt: 8,cputot: 61
CPUProcess(5):, outer i: 1, Prio: 32684, Preempt: 7,cputot: 61
CPUProcess(5):, outer i: 1, Prio: 32684, Preempt: 6,cputot: 61
CPUProcess(5):, outer i: 1, Prio: 32684, Preempt: 5,cputot: 61
CPUProcess(5):, outer i: 1, Prio: 32684, Preempt: 4,cputot: 61
CPUProcess(5):, outer i: 1, Prio: 32684, Preempt: 3,cputot: 61
CPUProcess(5):, outer i: 1, Prio: 32684, Preempt: 2,cputot: 61
CPUProcess(5):, outer i: 1, Prio: 32684, Preempt: 1,cputot: 61
CPUProcess(3):, outer i: 0, Prio: 32739, Preempt: 20,cputot: 47
CPUProcess(3):, outer i: 0, Prio: 32739, Preempt: 19,cputot: 47
CPUProcess(3):, outer i: 0, Prio: 32739, Preempt: 18,cputot: 47
CPUProcess(3):, outer i: 0, Prio: 32739, Preempt: 17,cputot: 47
CPUProcess(3):, outer i: 0, Prio: 32739, Preempt: 16,cputot: 47
CPUProcess(3):, outer i: 0, Prio: 32739, Preempt: 15,cputot: 47
CPUProcess(3):, outer i: 0, Prio: 32739, Preempt: 14,cputot: 47
CPUProcess(3):, outer i: 0, Prio: 32739, Preempt: 13,cputot: 47
CPUProcess(3):, outer i: 0, Prio: 32739, Preempt: 12,cputot: 47
CPUProcess(3):, outer i: 0, Prio: 32739, Preempt: 11,cputot: 47
CPUProcess(3):, outer i: 1, Prio: 32739, Preempt: 10,cputot: 47
CPUProcess(3):, outer i: 1, Prio: 32739, Preempt: 9,cputot: 47
CPUProcess(3):, outer i: 1, Prio: 32739, Preempt: 8,cputot: 47
CPUProcess(3):, outer i: 1, Prio: 32739, Preempt: 7,cputot: 47
CPUProcess(3):, outer i: 1, Prio: 32739, Preempt: 6,cputot: 47
CPUProcess(3):, outer i: 1, Prio: 32739, Preempt: 5,cputot: 47
CPUProcess(3):, outer i: 1, Prio: 32739, Preempt: 4,cputot: 47
CPUProcess(3):, outer i: 1, Prio: 32739, Preempt: 3,cputot: 47
CPUProcess(3):, outer i: 1, Prio: 32739, Preempt: 2,cputot: 47
CPUProcess(3):, outer i: 1, Prio: 32739, Preempt: 1,cputot: 47
CPUProcess(3):, outer i: 1, Prio: 32672, Preempt: 20,cputot: 67
CPUProcess(3):, outer i: 1, Prio: 32672, Preempt: 19,cputot: 67
CPUProcess(3):, outer i: 1, Prio: 32672, Preempt: 18,cputot: 67
CPUProcess(3):, outer i: 1, Prio: 32672, Preempt: 17,cputot: 67
CPUProcess(3):, outer i: 1, Prio: 32672, Preempt: 16,cputot: 67
CPUProcess(3):, outer i: 1, Prio: 32672, Preempt: 15,cputot: 67
CPUProcess(3):, outer i: 1, Prio: 32672, Preempt: 14,cputot: 67
CPUProcess(3):, outer i: 1, Prio: 32672, Preempt: 13,cputot: 67
CPUProcess(3):, outer i: 1, Prio: 32672, Preempt: 12,cputot: 67
CPUProcess(3):, outer i: 1, Prio: 32672, Preempt: 11,cputot: 67
CPUProcess(3):, outer i: 1, Prio: 32672, Preempt: 10,cputot: 67
CPUProcess(3):, outer i: 1, Prio: 32672, Preempt: 9,cputot: 67
CPUProcess(3):, outer i: 1, Prio: 32672, Preempt: 8,cputot: 67
CPUProcess(3):, outer i: 1, Prio: 32672, Preempt: 7,cputot: 67
CPUProcess(3):, outer i: 1, Prio: 32672, Preempt: 6,cputot: 67
CPUProcess(3):, outer i: 1, Prio: 32672, Preempt: 5,cputot: 67
CPUProcess(3):, outer i: 1, Prio: 32672, Preempt: 4,cputot: 67
CPUProcess(3):, outer i: 1, Prio: 32672, Preempt: 3,cputot: 67
CPUProcess(3):, outer i: 1, Prio: 32672, Preempt: 2,cputot: 67
CPUProcess(3):, outer i: 1, Prio: 32672, Preempt: 1,cputot: 67
CPUProcess(6):, outer i: 0, Prio: 32745, Preempt: 20,cputot: 41
CPUProcess(6):, outer i: 0, Prio: 32745, Preempt: 19,cputot: 41
CPUProcess(6):, outer i: 0, Prio: 32745, Preempt: 18,cputot: 41
CPUProcess(6):, outer i: 0, Prio: 32745, Preempt: 17,cputot: 41
CPUProcess(6):, outer i: 0, Prio: 32745, Preempt: 16,cputot: 41
CPUProcess(6):, outer i: 0, Prio: 32745, Preempt: 15,cputot: 41
CPUProcess(6):, outer i: 0, Prio: 32745, Preempt: 14,cputot: 41
CPUProcess(6):, outer i: 0, Prio: 32745, Preempt: 13,cputot: 41
CPUProcess(6):, outer i: 0, Prio: 32745, Preempt: 12,cputot: 41
CPUProcess(6):, outer i: 0, Prio: 32745, Preempt: 11,cputot: 41
CPUProcess(6):, outer i: 1, Prio: 32745, Preempt: 10,cputot: 41
CPUProcess(6):, outer i: 1, Prio: 32745, Preempt: 9,cputot: 41
CPUProcess(6):, outer i: 1, Prio: 32745, Preempt: 8,cputot: 41
CPUProcess(6):, outer i: 1, Prio: 32745, Preempt: 7,cputot: 41
CPUProcess(6):, outer i: 1, Prio: 32745, Preempt: 6,cputot: 41
CPUProcess(6):, outer i: 1, Prio: 32745, Preempt: 5,cputot: 41
CPUProcess(6):, outer i: 1, Prio: 32745, Preempt: 4,cputot: 41
CPUProcess(6):, outer i: 1, Prio: 32745, Preempt: 3,cputot: 41
CPUProcess(6):, outer i: 1, Prio: 32745, Preempt: 2,cputot: 41
CPUProcess(6):, outer i: 1, Prio: 32745, Preempt: 1,cputot: 41
CPUProcess(6):, outer i: 1, Prio: 32684, Preempt: 20,cputot: 61
CPUProcess(6):, outer i: 1, Prio: 32684, Preempt: 19,cputot: 61
CPUProcess(6):, outer i: 1, Prio: 32684, Preempt: 18,cputot: 61
CPUProcess(6):, outer i: 1, Prio: 32684, Preempt: 17,cputot: 61
CPUProcess(6):, outer i: 1, Prio: 32684, Preempt: 16,cputot: 61
